lang,role,avg_harassment_score,avg_harassment/threatening_score,avg_hate_score,avg_hate/threatening_score,avg_self-harm_score,avg_self-harm/instructions_score,avg_self-harm/intent_score,avg_sexual_score,avg_sexual/minors_score,avg_violence_score,avg_violence/graphic_score,avg_max_toxicity_score,avg_avg_toxicity_score,std_harassment_score,std_harassment/threatening_score,std_hate_score,std_hate/threatening_score,std_self-harm_score,std_self-harm/instructions_score,std_self-harm/intent_score,std_sexual_score,std_sexual/minors_score,std_violence_score,std_violence/graphic_score,std_max_toxicity_score,std_avg_toxicity_score
Bulgarian,all,0.0035,0.00005,0.00045,0.00007,0.00006,0.00002,0.00002,0.00074,0.00003,0.00202,0.00019,0.0057,0.00065,0.03722,0.00021,0.00224,0.00043,0.00044,0.00017,0.00008,0.00371,0.00014,0.01334,0.00078,0.0395,0.00378
Bulgarian,assistant,0.00094,0.00003,0.00025,0.00002,0.00005,0.00001,0.00002,0.00111,0.00003,0.00144,0.00022,0.00281,0.00037,0.00478,0.00014,0.00117,0.00008,0.00025,0.00003,0.00006,0.00507,0.00008,0.00332,0.00076,0.00734,0.00082
Bulgarian,user,0.00606,0.00007,0.00065,0.00012,0.00008,0.00004,0.00003,0.00036,0.00004,0.00261,0.00015,0.00858,0.00093,0.05236,0.00025,0.00294,0.0006,0.00057,0.00023,0.0001,0.00125,0.00018,0.01858,0.00079,0.0553,0.00528
Catalan,all,0.00585,0.00011,0.00095,0.00009,0.00019,0.00001,0.00004,0.03709,0.01577,0.00549,0.00028,0.04553,0.00599,0.04823,0.00122,0.00361,0.00108,0.00253,0.00012,0.00065,0.17193,0.10444,0.04286,0.00244,0.17906,0.02514
Catalan,assistant,0.00341,0.00008,0.00029,0.00001,0.00028,0.00001,0.00006,0.03689,0.01629,0.00302,0.00021,0.04156,0.0055,0.03468,0.00137,0.00096,0.00006,0.00356,0.00016,0.00091,0.17106,0.11164,0.01892,0.00132,0.17412,0.02472
Catalan,user,0.0083,0.00014,0.00161,0.00017,0.0001,0.00001,0.00001,0.0373,0.01526,0.00796,0.00036,0.04949,0.00647,0.05868,0.00105,0.00493,0.00152,0.00041,0.00005,0.00006,0.173,0.09682,0.05752,0.00319,0.18399,0.02557
Croatian,all,0.00299,0.00006,0.00155,0.00004,0.00002,0.0,0.0,0.00061,0.00005,0.00244,0.00068,0.00573,0.00077,0.03216,0.00043,0.02694,0.00016,0.00009,0.00002,0.00002,0.00225,0.00019,0.01038,0.00462,0.03361,0.00548
Croatian,assistant,0.00152,0.00004,0.00014,0.00003,0.00002,0.0,0.0,0.00021,0.00003,0.00277,0.00092,0.00425,0.00052,0.01232,0.00042,0.00067,0.00018,0.00007,0.00002,0.00002,0.00091,0.00014,0.01253,0.00618,0.01741,0.00201
Croatian,user,0.00445,0.00007,0.00296,0.00005,0.00001,0.0,0.0,0.00101,0.00008,0.00211,0.00044,0.00722,0.00102,0.04379,0.00044,0.03808,0.00014,0.0001,0.0,0.00001,0.00299,0.00022,0.00767,0.00211,0.04424,0.00748
Czech,all,0.00201,0.00005,0.00046,0.00003,0.00046,0.00001,0.00005,0.00513,0.00035,0.01023,0.00064,0.01419,0.00177,0.02712,0.00043,0.00272,0.0002,0.00584,0.0001,0.00081,0.04622,0.00285,0.06488,0.0076,0.07506,0.0099
